"Date","Price","Open","High","Low","Vol.","Change %"
"12/11/2023","2,049.00","2,049.00","2,049.00","2,049.00","","-2.61%"
"12/08/2023","2,104.00","2,104.00","2,104.00","2,104.00","","-4.23%"
"12/07/2023","2,197.00","2,197.00","2,197.00","2,197.00","","-4.93%"
"12/06/2023","2,311.00","2,311.00","2,311.00","2,311.00","","-4.70%"
"12/05/2023","2,425.00","2,425.00","2,425.00","2,425.00","","-0.66%"
"12/04/2023","2,441.00","2,441.00","2,441.00","2,441.00","","4.27%"
"12/01/2023","2,341.00","2,341.00","2,341.00","2,341.00","","5.50%"
"11/30/2023","2,219.00","2,219.00","2,219.00","2,219.00","","4.13%"
"11/29/2023","2,131.00","2,131.00","2,131.00","2,131.00","","1.19%"
"11/28/2023","2,106.00","2,106.00","2,106.00","2,106.00","","0.53%"
"11/27/2023","2,095.00","2,095.00","2,095.00","2,095.00","","1.50%"
"11/24/2023","2,064.00","2,064.00","2,064.00","2,064.00","","1.47%"
"11/23/2023","2,034.00","2,034.00","2,034.00","2,034.00","","1.29%"
"11/22/2023","2,008.00","2,008.00","2,008.00","2,008.00","","1.98%"
"11/21/2023","1,969.00","1,969.00","1,969.00","1,969.00","","2.82%"
"11/20/2023","1,915.00","1,915.00","1,915.00","1,915.00","","2.19%"
"11/17/2023","1,874.00","1,874.00","1,874.00","1,874.00","","4.11%"
"11/16/2023","1,800.00","1,800.00","1,800.00","1,800.00","","6.32%"
"11/15/2023","1,693.00","1,693.00","1,693.00","1,693.00","","5.35%"
"11/14/2023","1,607.00","1,607.00","1,607.00","1,607.00","","3.81%"
"11/13/2023","1,548.00","1,548.00","1,548.00","1,548.00","","1.18%"
"11/10/2023","1,530.00","1,530.00","1,530.00","1,530.00","","2.00%"
"11/09/2023","1,500.00","1,500.00","1,500.00","1,500.00","","2.04%"
"11/08/2023","1,470.00","1,470.00","1,470.00","1,470.00","","1.17%"
"11/07/2023","1,453.00","1,453.00","1,453.00","1,453.00","","0.35%"
"11/06/2023","1,448.00","1,448.00","1,448.00","1,448.00","","0.00%"
"11/03/2023","1,448.00","1,448.00","1,448.00","1,448.00","","-0.89%"
"11/02/2023","1,461.00","1,461.00","1,461.00","1,461.00","","-1.88%"
"11/01/2023","1,489.00","1,489.00","1,489.00","1,489.00","","-2.93%"
"10/31/2023","1,534.00","1,534.00","1,534.00","1,534.00","","-2.60%"
"10/30/2023","1,575.00","1,575.00","1,575.00","1,575.00","","-1.87%"
"10/27/2023","1,605.00","1,605.00","1,605.00","1,605.00","","-1.41%"
"10/26/2023","1,628.00","1,628.00","1,628.00","1,628.00","","-1.27%"
"10/25/2023","1,649.00","1,649.00","1,649.00","1,649.00","","0.06%"
"10/24/2023","1,648.00","1,648.00","1,648.00","1,648.00","","0.61%"
"10/23/2023","1,638.00","1,638.00","1,638.00","1,638.00","","0.00%"
"10/20/2023","1,638.00","1,638.00","1,638.00","1,638.00","","0.18%"
"10/19/2023","1,635.00","1,635.00","1,635.00","1,635.00","","0.99%"
"10/18/2023","1,619.00","1,619.00","1,619.00","1,619.00","","3.45%"
"10/17/2023","1,565.00","1,565.00","1,565.00","1,565.00","","0.77%"
"10/16/2023","1,553.00","1,553.00","1,553.00","1,553.00","","-0.89%"
"10/13/2023","1,567.00","1,567.00","1,567.00","1,567.00","","-1.63%"
"10/12/2023","1,593.00","1,593.00","1,593.00","1,593.00","","-1.30%"
"10/11/2023","1,614.00","1,614.00","1,614.00","1,614.00","","0.12%"
"10/10/2023","1,612.00","1,612.00","1,612.00","1,612.00","","1.64%"
"10/09/2023","1,586.00","1,586.00","1,586.00","1,586.00","","0.89%"
"10/06/2023","1,572.00","1,572.00","1,572.00","1,572.00","","-1.26%"
"10/05/2023","1,592.00","1,592.00","1,592.00","1,592.00","","-2.03%"
